id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Temple Dawn,Aster Quartet,classical,serene,0.22,64,0.67,0.20,0.97
12,City Carnival,Golden Kora,afrobeat,celebratory,0.84,108,0.88,0.87,0.14
13,Iron Anthem,Black Forge,metal,aggressive,0.96,176,0.33,0.52,0.03
14,Dust Road Home,Cedar Miles,country,nostalgic,0.49,96,0.72,0.57,0.61
15,Island Sketch,Blue Palms,reggae,uplifting,0.63,88,0.79,0.74,0.46
16,Neon Pulse,Arc Reactor,edm,euphoric,0.94,128,0.76,0.92,0.08
17,Velvet Hours,Monarch Lane,r&b,sensual,0.58,92,0.69,0.81,0.29
18,Fireplace Letters,North Meadow,folk,wistful,0.31,70,0.55,0.44,0.90
19,From The Start,Laufey,jazz pop,playful,0.52,94,0.78,0.73,0.66
20,Valentine,Laufey,chamber pop,romantic,0.34,72,0.74,0.48,0.89
21,Falling Behind,Laufey,jazz pop,wistful,0.41,80,0.63,0.55,0.82
22,Promise,Laufey,traditional pop,tender,0.29,68,0.58,0.40,0.93
23,Don't Know Why,Norah Jones,vocal jazz,calm,0.36,88,0.70,0.50,0.86
24,Linger Awhile,Samara Joy,vocal jazz,serene,0.27,66,0.62,0.36,0.95
25,Kingston,Faye Webster,indie folk,dreamy,0.33,76,0.57,0.47,0.91
26,Only Love Can Hurt Like This,Paloma Faith,soulful pop,heartbroken,0.46,84,0.51,0.54,0.72
